object_id,title,year,download_url
98,Pussytown #1,1990,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/367/object_id/98/download/1/version/original
99,Figment Fragment #2,unknown,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/309/object_id/99/download/1/version/original
100,Queeruption INFOzine,2004,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/435/object_id/100/download/1/version/original
101,Anonymous Boy Collection #8,2000,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/42/object_id/101/download/1/version/original
102,Some Boys Bleed,2005,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/400/object_id/102/download/1/version/original
103,Chaos Order #1,1994,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/329/object_id/103/download/1/version/original
104,Womyn Who Masturbate #5,1994,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/46/object_id/104/download/1/version/original
105,Rebel Fux #1,1998,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/426/object_id/105/download/1/version/original
106,Boy Crazy Boy #1,1993,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/15/object_id/106/download/1/version/original
107,Barbra's Psychic Anus #2,1992,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/99/object_id/107/download/1/version/original
108,Bleached Blonde Bimbos #1,2004,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/123/object_id/108/download/1/version/original
109,Out Of The Closets and Into The Libraries #1,2005,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/242/object_id/109/download/1/version/original
110,Dentistry,unknown,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/21/object_id/110/download/1/version/original
111,Rebel Fux #7,1996,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/429/object_id/111/download/1/version/original
112,Bleached Blonde Bimbos #2,2005,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/124/object_id/112/download/1/version/original
113,Homocore Toronto #2,1993,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/353/object_id/113/download/1/version/original
114,My Second Lesbian Colouring Book,2006,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/259/object_id/114/download/1/version/original
